ZTF20aakodiq 0.045940 Ia-91T
58980.267581 2 20.0396 0.165264
58979.3004514 2 20.4366 0.308407
58975.3841319 2 19.8423 0.253331
58974.3193634 2 19.7478 0.334074
58973.3304051 2 19.7163 0.213982
58972.4053704 2 19.869 0.269476
58971.3822685 2 19.9933 0.224825
58970.3989236 2 19.9148 0.159944
58968.3820023 2 19.9515 0.138065
58967.3514815 2 19.8761 0.16299
58965.3483102 2 19.711 0.163018
58964.4077315 2 19.6907 0.128939
58962.3172685 2 19.8273 0.143131
58961.4087037 2 19.7237 0.157475
58956.3337037 2 19.5649 0.137841
58955.4233796 2 19.5776 0.157015
58954.462662 2 19.4338 0.152822
58944.4028588 2 19.3236 0.147792
58943.4657639 2 19.2425 0.133512
58939.4306944 2 19.2257 0.1866
58936.4188079 2 19.0424 0.0799036
58914.5095486 2 17.9954 0.0550233
58911.4953704 2 17.9104 0.069906
58906.5169907 2 17.6996 0.060866
58903.5191898 2 17.5895 0.054754
58898.4965625 2 17.5451 0.044503
58895.4954861 2 17.5476 0.0484384
58893.5275694 2 17.589 0.0395676
58890.4979282 2 17.7207 0.0892522
58887.5328819 2 17.8117 0.0522491
58884.5566667 2 18.1747 0.0645592
58881.5461574 2 18.8131 0.0792218
58878.5568981 2 19.7006 0.192749
