ZTF19aaypehm 0.110000 Ia
58675.2981019 1 20.0074 0.222273
58672.3021991 1 19.7438 0.139328
58666.2099884 1 19.214 0.105976
58660.2043519 1 19.0444 0.0836012
58657.2137269 1 18.9498 0.0763021
58655.3129051 1 18.8796 0.117174
58653.2748264 1 18.9453 0.129139
58647.215463 1 19.5446 0.16971
58645.2215046 1 19.8262 0.196493
