ZTF19aanirdx 0.092000 Ia
58608.3452662 2 19.5254 0.203821
58606.2824421 2 20.2742 0.243694
58605.4360185 2 19.528 0.142543
58596.4048843 2 19.2956 0.117597
58589.3464931 2 18.7325 0.296773
58586.390463 2 18.7904 0.124263
58583.3448611 2 18.6124 0.1357
58580.5053819 2 18.6671 0.095141
58575.4240509 2 18.6994 0.0938336
58572.4306597 2 18.8713 0.109075
