ZTF19aaripqw 0.041310 Ia
58672.1994792 2 19.458 0.186006
58662.1823843 2 19.3224 0.12102
58654.1781019 2 18.982 0.0955154
58649.2212731 2 18.7039 0.111555
58646.2236574 2 18.523 0.0808374
58643.2466435 2 18.3167 0.073906
58640.2265509 2 18.1526 0.0616894
58637.1735532 2 18.0656 0.0573713
58634.1776157 2 18.0272 0.0708755
58618.2132986 2 17.3283 0.0451763
58616.1664468 2 17.2183 0.0464313
58612.1999769 2 17.1583 0.0424499
58608.2210069 2 17.2286 0.0412512
58599.1627083 2 18.4986 0.0624908
