ZTF19abgmkef 0.060000 II
58749.3003588 2 19.9091 0.183884
58743.3568634 2 19.4556 0.28983
58739.3990972 2 19.4258 0.170254
58736.4339931 2 19.5933 0.172707
58733.4064931 2 19.5695 0.146251
58730.4222454 2 19.523 0.118946
58727.4839236 2 19.3627 0.135653
58724.4167361 2 19.4387 0.147547
58721.4587037 2 19.3552 0.111234
58718.4617245 2 19.277 0.108726
58715.4223958 2 19.2776 0.147453
58706.4988889 2 19.084 0.117729
58703.4421528 2 19.0527 0.0988323
58700.4428935 2 19.0653 0.0933987
58697.4243866 2 18.9469 0.0886437
58694.4121412 2 18.8914 0.0883388
58691.4335301 2 18.7863 0.0884683
58688.4346296 2 18.7872 0.103593
58688.4346296 2 18.7872 0.103593
58685.4463889 2 18.6959 0.0950406
58682.426956 2 18.8837 0.104873
58679.4704282 2 19.2639 0.124019
