ZTF18abpaywm 0.045000 Ia
58423.0995949 2 19.6369 0.208086
58388.1964005 2 18.4241 0.0679269
58388.1764236 2 18.3613 0.0763377
58385.1975231 2 18.4407 0.0988479
58382.1612731 2 18.229 0.0528874
58382.1327315 2 18.2645 0.0706752
58379.2465162 2 18.0497 0.0652513
58379.2255903 2 18.0535 0.0543851
58376.182419 2 17.8577 0.070174
58373.1771759 2 17.7509 0.0493938
58373.1556481 2 17.7386 0.0672015
58370.2658796 2 17.6336 0.058907
58370.1597685 2 17.6833 0.0468099
58367.1990741 2 17.6863 0.0666714
58367.1842708 2 17.7098 0.0420814
58364.1820255 2 17.7714 0.0561131
58364.1778588 2 17.7902 0.0433478
58361.2659259 2 17.9719 0.0609063
58361.2383218 2 17.9951 0.077326
58358.1955324 2 18.3995 0.0798349
58357.2561111 2 18.5672 0.0766266
58355.2462731 2 19.0272 0.0896561
58354.3671759 2 19.6175 0.202104
58354.2657986 2 19.6421 0.21546
