ZTF19abnimpq 0.070000 Ia
58791.2861227 1 21.0189 0.265107
58789.3691667 1 20.9095 0.26953
58785.377419 1 21.0158 0.327565
58759.4061111 1 20.5189 0.178776
58756.4033681 1 20.4385 0.204942
58749.3251157 1 20.2406 0.153125
58746.3899421 1 19.8153 0.173418
58739.5177083 1 19.6637 0.185671
58736.4624653 1 19.4852 0.130514
58733.4640162 1 19.2138 0.0943491
58730.4754514 1 18.9138 0.0775142
58724.4421065 1 18.3192 0.0534291
58718.4419213 1 17.9899 0.050502
58712.486956 1 17.9127 0.068698
58709.4930324 1 18.0463 0.0571786
58706.4708218 1 18.2482 0.0618921
58703.487963 1 18.6836 0.0942105
58700.4653588 1 19.5796 0.0847668
