ZTF19abxvjkn 0.054180 Ia
58791.4810185 2 20.1957 0.213431
58788.5238194 2 20.0449 0.244422
58785.4985995 2 19.8732 0.189492
58769.4769097 2 19.0602 0.143827
58766.5293171 2 18.8927 0.0839515
58756.5173611 2 18.6315 0.0798378
58748.4851852 2 18.2213 0.090662
58745.4846991 2 18.0153 0.0650793
58739.4666435 2 17.9715 0.0862168
58736.5123958 2 18.0796 0.063969
58733.5091782 2 18.1981 0.0724651
