ZTF19aayslow 0.060000 Ia
58685.1837847 1 19.4282 0.112489
58682.170162 1 19.3848 0.169615
58679.1776389 1 19.0653 0.129425
58676.1860648 1 18.7758 0.109666
58673.1771875 1 18.464 0.0804136
58670.1937963 1 18.2154 0.0534051
58667.1950694 1 18.045 0.0542478
58663.2294329 1 17.8793 0.052833
58657.1954861 1 17.8584 0.0562176
58654.2584375 1 18.0209 0.0707949
58651.1715162 1 18.3648 0.109977
58648.1833218 1 18.8723 0.136227
58645.2356481 1 19.5976 0.205213
58642.2006829 1 20.4366 0.310387
