ZTF19aakzash 0.036500 II
58612.1718866 1 19.7439 0.164744
58605.2324884 1 19.641 0.125647
58600.1899421 1 19.6155 0.143464
58597.2522569 1 19.6452 0.128108
58586.252419 1 19.7984 0.207223
58580.2531134 1 19.602 0.140097
58575.2727431 1 19.5163 0.123508
58572.255787 1 19.5212 0.21538
58567.2540162 1 19.5596 0.145655
58556.3365741 1 19.2874 0.177838
58546.2709954 1 19.1646 0.184647
58543.2795023 1 18.9604 0.272529
58538.2962037 1 18.932 0.273476
