ZTF19aarifvr 0.071000 Ia-91T
58642.2011343 1 20.1477 0.207202
58639.2387037 1 19.9426 0.165254
58636.2573611 1 19.773 0.166721
58633.261169 1 19.5302 0.15001
58622.1728009 1 18.743 0.133069
58619.2348958 1 18.3707 0.159467
58612.2915394 1 18.0351 0.0622909
58606.4031944 1 17.9233 0.0558849
58600.2163542 1 18.1944 0.0705907
58597.3129282 1 18.5494 0.0726728
58594.2088542 1 19.5763 0.264182
