ZTF18acbxsge 0.025000 Ia
58491.1166088 2 18.6257 0.0791334
58487.0982986 2 18.3946 0.0671966
58482.1858565 2 18.1983 0.0915111
58475.165162 2 17.8219 0.051328
58472.1069676 2 17.7157 0.0540716
58456.1850116 2 17.345 0.0360152
58447.3166204 2 16.8376 0.0372245
58443.3383681 2 16.6615 0.0448427
58438.2565394 2 16.8123 0.0465452
58432.2707755 2 17.1982 0.0368634
58429.260544 2 17.6249 0.0430833
58426.2541782 2 18.43 0.0612496
