ZTF19abeloei 0.060000 Ia
58744.1811921 1 20.5113 0.344097
58732.2967245 1 20.5818 0.328666
58727.3211574 1 20.4998 0.308033
58726.2997454 1 20.2979 0.229248
58725.2984606 1 20.326 0.20366
58723.3221181 1 20.3473 0.215624
58722.3001273 1 20.4235 0.23112
58721.3009491 1 20.0359 0.28123
58720.3200694 1 20.1882 0.234204
58718.3210417 1 19.9676 0.215707
58716.3207176 1 19.9298 0.220544
58714.2168519 1 19.8295 0.246566
58711.2162731 1 19.6291 0.264239
58710.2168866 1 19.2456 0.177722
58708.2240972 1 19.5604 0.234212
58707.2229861 1 19.3058 0.154338
58706.2260764 1 19.063 0.121389
58705.2233333 1 19.0828 0.121938
58704.3044907 1 18.9939 0.131903
58703.3090278 1 18.8995 0.0911141
58702.308588 1 18.7258 0.0919782
58701.3093981 1 18.7456 0.104321
58700.3058102 1 18.6027 0.0779144
58699.3092477 1 18.5221 0.0823906
58697.3263194 1 18.3969 0.0649057
58696.307037 1 18.2893 0.0628712
58693.2449769 1 18.1477 0.0595857
58691.3060532 1 18.0169 0.0572776
58690.2067824 1 17.9661 0.0674552
58688.3295023 1 17.9474 0.0635739
58685.3634491 1 17.8534 0.0604286
58684.2649653 1 17.8674 0.059165
58683.2749421 1 17.8173 0.0571271
58681.2035417 1 17.8527 0.0701002
58680.1990278 1 17.9004 0.0700665
58671.2919329 1 19.7147 0.174788
