ZTF19abpzuzd 0.061000 Ia
58786.138125 2 20.0623 0.174886
58783.1316435 2 19.993 0.220469
58782.1304282 2 20.0276 0.196691
58781.131331 2 20.042 0.397621
58779.1314352 2 19.7195 0.130078
58778.1316435 2 19.7104 0.120687
58777.1314583 2 19.7735 0.177383
58776.1310532 2 19.6535 0.150269
58775.1312731 2 19.7296 0.144283
58774.1315509 2 19.6831 0.206636
58772.1313426 2 19.5047 0.187513
58771.1311574 2 19.3485 0.361011
58768.1305671 2 19.0086 0.180187
58766.1301736 2 19.2635 0.226128
58765.1304398 2 19.2082 0.121565
58764.1302546 2 19.1413 0.106671
58763.3518634 2 19.0859 0.0807807
58760.2972569 2 18.9854 0.0729942
58757.3252083 2 18.7464 0.0714607
58749.2970718 2 18.5691 0.0645551
58743.3681134 2 18.4297 0.10198
58739.3762037 2 18.2804 0.0739373
58736.4188889 2 18.0536 0.0490011
58733.4001042 2 17.8781 0.046777
58730.4000116 2 17.7723 0.0533699
58727.4848727 2 17.7584 0.0506085
58724.3988542 2 17.8387 0.0542069
58718.4792824 2 18.2416 0.0675305
58715.4204861 2 18.8717 0.0738592
58712.4040162 2 19.9456 0.226701
