ZTF19aanetjx 0.053100 Ia
58601.247581 1 19.9002 0.164106
58597.2550231 1 19.459 0.148756
58592.2059375 1 18.8804 0.199032
58591.1830208 1 18.6416 0.123573
58587.2481481 1 18.3671 0.0907816
58586.2901042 1 18.4644 0.12389
58585.2036574 1 18.1962 0.0846876
58585.2009144 1 18.2892 0.0856383
58581.2104167 1 18.0734 0.075248
58580.205625 1 18.0417 0.083674
58580.2042361 1 17.9929 0.0769614
58575.2750463 1 18.1852 0.0812011
58572.206331 1 18.4857 0.114995
58567.2056019 1 19.8313 0.197488
