ZTF19aarprog 0.053764 Ia
58660.2048032 1 20.2322 0.206406
58657.2132755 1 19.9713 0.154126
58647.2145139 1 19.7633 0.240831
58644.2112731 1 19.6882 0.202059
58641.2312616 1 19.6625 0.1996
58638.3507523 1 19.3156 0.100043
58635.2155556 1 19.0942 0.107414
58632.3398495 1 18.8567 0.0894095
58616.2764352 1 17.5121 0.0609068
58608.3165972 1 17.4827 0.0543856
58600.3919213 1 18.2276 0.0622682
58596.4813194 1 19.5189 0.221997
