ZTF18abixkjh 0.070000 Ia
58362.1408912 2 19.3787 0.150147
58357.2327083 2 18.9676 0.166675
58353.2325926 2 19.0953 0.123786
58353.1479745 2 19.1032 0.132551
58346.1720023 2 18.8799 0.0853607
58343.1531134 2 18.8364 0.0825841
58340.1852778 2 18.6771 0.0884084
58336.2132755 2 18.4623 0.0753083
58333.1658218 2 18.3702 0.0819829
58330.3021759 2 18.199 0.0732155
58327.2777199 2 18.1047 0.0927335
58324.1699884 2 18.2831 0.068325
58321.213044 2 18.4709 0.0781099
