ZTF19abiqnpv 0.045000 Ib
58730.3995602 2 20.1907 0.158361
58725.4846644 2 20.0238 0.222855
58719.3765972 2 19.9238 0.18397
58716.3806713 2 20.0095 0.251356
58713.4091782 2 19.5988 0.295933
58710.422419 2 19.3988 0.159521
58707.4655556 2 19.3564 0.128221
58703.423206 2 19.2073 0.0953982
58699.3931713 2 19.1723 0.101486
58693.4645255 2 19.3795 0.101927
58690.4214583 2 19.4766 0.106908
58684.4888657 2 20.397 0.320132
