ZTF18acnbeuu 0.102000 Ia
58468.433206 1 19.7855 0.117874
58465.5378935 1 19.5427 0.117812
58464.4855324 1 19.5129 0.110975
58461.4633102 1 19.355 0.155414
58450.4665278 1 18.6841 0.0967974
58450.4408102 1 18.7418 0.102562
58443.5334144 1 18.7178 0.0866314
58443.5305787 1 18.7327 0.0872304
58440.4945023 1 18.8713 0.104615
58440.4653009 1 19.012 0.0889746
58437.4950231 1 19.4598 0.120296
