ZTF18abrzbum 0.018300 II
58963.1789931 1 20.2459 0.187299
58963.1613657 1 20.131 0.199657
58898.2685185 1 20.1936 0.17154
58898.2087616 1 20.2008 0.188376
58881.1843056 1 20.2101 0.309227
58879.1770255 1 20.3817 0.363584
58878.2271759 1 20.0877 0.335629
58876.1974769 1 20.1989 0.184911
58876.1974769 1 20.2054 0.184869
58867.3924537 1 20.1996 0.17951
58864.196713 1 20.1213 0.180703
58855.4419907 1 20.0724 0.260599
58854.4922917 1 20.1021 0.303549
58853.4533912 1 20.1996 0.150906
58852.4652431 1 20.1646 0.214545
58850.4301042 1 20.0836 0.284837
58849.4728009 1 20.2777 0.247596
58846.4862847 1 20.2437 0.241656
58789.4583796 1 20.2194 0.194396
58788.5096644 1 20.3466 0.23131
58784.4866782 1 20.4165 0.46826
58778.5138426 1 20.269 0.3299
58766.4685417 1 20.3422 0.231678
58763.4714236 1 20.326 0.19458
58756.4503704 1 20.3018 0.257479
58748.5082639 1 20.3899 0.300316
58745.5121759 1 20.2036 0.333505
58733.492419 1 20.5649 0.324426
58606.1644444 1 20.2539 0.201523
58602.181412 1 20.2314 0.204386
58591.1622917 1 19.8302 0.27926
58584.2131597 1 20.2542 0.303357
58522.1743171 1 20.3112 0.213455
58468.4318287 1 20.4625 0.207364
58468.4168403 1 20.3372 0.16211
58425.5176736 1 20.4111 0.196455
