ZTF19abctnpk 0.080000 Ia
58696.4023148 1 20.3214 0.189478
58693.4151389 1 20.0951 0.177042
58690.4561111 1 19.7774 0.128523
58686.4626505 1 19.4152 0.156865
58683.4610648 1 19.3896 0.18094
58680.4615394 1 19.1928 0.135803
58677.4443519 1 19.0719 0.106008
58669.4832523 1 19.2999 0.175629
58668.4482639 1 19.4363 0.115008
