ZTF19abkdrir 0.099000 Ia
58726.3771065 2 19.1526 0.0987451
58725.4818634 2 19.2316 0.125461
58723.3927199 2 19.1769 0.0938228
58719.4598495 2 19.019 0.105124
58718.4606944 2 18.8862 0.103496
58715.4177315 2 18.7916 0.141243
58711.4195023 2 18.7537 0.0986287
58710.4176389 2 18.5928 0.102114
58707.5014005 2 18.5217 0.0911981
58707.5009491 2 18.6622 0.0759691
58704.4797685 2 18.6971 0.0916073
58704.46 2 18.5871 0.0666148
58699.5005671 2 18.9912 0.0826144
58695.4798264 2 19.8979 0.144458
