ZTF18abdbuty 0.075000 Ia
58340.1786227 2 19.5892 0.21145
58336.2163426 2 19.2378 0.141631
58333.3278356 2 18.9075 0.153969
58330.3690972 2 18.8353 0.130508
58327.3055903 2 18.8813 0.183866
58321.2461921 2 18.6596 0.0799769
58314.1983796 2 18.1923 0.0766113
58300.3266435 2 18.4724 0.11928
58297.3311458 2 19.2719 0.195522
