ZTF19abvgwvp 0.119000 Ia
58763.4131019 1 20.1694 0.252095
58760.4180208 1 19.9589 0.165786
58757.4198958 1 19.6339 0.149315
58751.3992245 1 19.2404 0.125485
58748.5038194 1 19.1034 0.165178
58745.5029861 1 18.9212 0.170159
58738.4613079 1 18.7994 0.109537
58732.419537 1 19.2061 0.115954
58727.4604514 1 20.1534 0.21581
