ZTF19aavjlkx 0.083443 II
58663.3048148 2 19.9792 0.187696
58660.2318981 2 19.9255 0.171997
58657.2548727 2 19.7633 0.128188
58653.2072454 2 19.3989 0.142038
58650.2532523 2 19.4495 0.199507
58647.2537384 2 19.3228 0.141438
58644.2726042 2 19.1752 0.113571
58638.2690856 2 18.8087 0.0809461
58635.2880093 2 18.8807 0.0898492
58633.3513657 2 18.8417 0.101923
58632.3092361 2 18.9405 0.100378
58632.3025116 2 18.9711 0.096206
