ZTF18acnbeuu 0.102000 Ia
58486.4659028 2 19.993 0.183057
58480.4480208 2 19.7122 0.17558
58480.4296065 2 19.7071 0.214453
58471.5335185 2 19.5946 0.157975
58471.532581 2 19.4934 0.121802
58468.5097338 2 19.489 0.113481
58465.4703125 2 19.3047 0.108112
58461.5280324 2 19.1149 0.126644
58455.5337269 2 18.8022 0.106547
58455.5304977 2 18.6398 0.0729496
58455.5080093 2 18.8933 0.117826
58455.4837616 2 18.8042 0.106167
58455.4743403 2 18.8541 0.0782267
58450.5371759 2 18.8108 0.0721526
58450.5330324 2 18.695 0.0750588
58447.5324306 2 18.7061 0.0871924
58447.5085764 2 18.8253 0.123452
58447.4509722 2 18.8888 0.125707
58447.4316435 2 18.7084 0.107106
58443.4484259 2 18.8629 0.0814701
58443.4331366 2 18.9957 0.128855
58440.5339583 2 19.1784 0.113373
58440.5124537 2 19.1201 0.086473
58437.5259375 2 19.6868 0.14687
