ZTF18abbvsiv 0.051000 Ia
58352.2673148 2 19.848 0.207417
58337.330706 2 19.5976 0.172319
58334.3574769 2 19.316 0.138083
58331.2218519 2 19.255 0.123709
58325.2434028 2 18.9043 0.131521
58322.2827431 2 18.7923 0.085817
58310.3935301 2 18.1627 0.0750411
58300.3401389 2 17.7332 0.0599102
58297.328831 2 17.7137 0.0544203
58293.3094213 2 17.9152 0.0457638
58290.3320139 2 18.1382 0.0532853
58287.2677662 2 18.7135 0.0610977
