ZTF18abgosbg 0.080000 Ia
58987.4339005 1 19.7096 0.136006
58986.4016204 1 19.7584 0.157974
58985.449375 1 19.6646 0.217961
58981.3040741 1 19.7284 0.244009
58979.2566667 1 19.7947 0.200567
58978.4306944 1 19.7855 0.344654
58976.4649537 1 19.6441 0.253715
58975.2638542 1 19.3996 0.259093
58974.4751389 1 19.573 0.176936
58973.4526505 1 19.6675 0.190697
58971.4310069 1 19.7256 0.180944
58970.3021644 1 19.6693 0.162889
58968.4467593 1 19.6843 0.153709
58967.43 1 19.6859 0.197055
58966.4450347 1 19.6371 0.174004
58965.4236806 1 19.6453 0.155456
58964.3633218 1 19.5995 0.151771
58963.4572338 1 19.576 0.189967
58963.4163773 1 19.5881 0.1486
58955.4666782 1 19.5344 0.179879
58944.4928009 1 19.588 0.209309
58941.4922338 1 19.7111 0.200923
58914.4468287 1 19.5515 0.271339
58913.5201852 1 19.4515 0.195526
58912.5521875 1 19.7047 0.208482
58911.5458218 1 19.784 0.27851
58903.5326505 1 19.7518 0.192387
58899.5389815 1 19.6005 0.203423
58898.5528472 1 19.6716 0.194963
58895.5315162 1 19.7307 0.220522
58894.5542014 1 19.5744 0.171388
58893.4758449 1 19.6892 0.271985
58891.4701273 1 19.3686 0.178542
58881.4845255 1 19.708 0.144451
58880.484294 1 19.7084 0.188434
58877.5545602 1 19.6664 0.238696
58866.5758218 1 19.6686 0.21123
58812.1281713 1 19.5693 0.163657
58811.0997106 1 19.6458 0.219765
58805.0980903 1 19.6238 0.241947
58802.1732755 1 19.6027 0.204225
58798.1082986 1 19.6901 0.281567
58797.1383102 1 19.507 0.240249
58794.1372222 1 19.5803 0.206726
58792.1949421 1 19.8121 0.267546
58791.1487269 1 19.7009 0.229648
58789.1697454 1 19.5622 0.189752
58788.1693287 1 19.5343 0.205266
58787.1684028 1 19.4919 0.18316
58786.176088 1 19.5795 0.203498
58785.1696412 1 19.6044 0.146439
58783.1699306 1 19.5609 0.152887
58782.1688657 1 19.6708 0.178134
58781.1700463 1 19.5995 0.250456
58779.1705556 1 19.6232 0.187088
58778.1707292 1 19.5437 0.166207
58777.1705324 1 19.5842 0.156423
58776.1700926 1 19.4213 0.127167
58775.1708449 1 19.5698 0.126603
58774.1707523 1 19.7011 0.274032
58768.1716204 1 19.6019 0.253234
