ZTF20aabbvcx 0.077000 Ia
58877.1847917 1 19.2614 0.188232
58874.1621065 1 18.9315 0.108261
58871.1667477 1 18.8401 0.137694
58867.1296412 1 18.5178 0.165036
58864.1453472 1 18.4999 0.0723827
58862.1096528 1 18.4712 0.0659474
58859.0916667 1 18.5325 0.0856967
58856.1066435 1 18.7803 0.0852503
58850.148912 1 19.7678 0.206201
