ZTF19abahvdh 0.075000 Ia
58705.1656481 2 19.692 0.182391
58698.1757176 2 19.4077 0.158794
58695.222338 2 19.458 0.22724
58692.1748032 2 19.1016 0.167134
58689.1733912 2 19.2343 0.154688
58686.2966782 2 19.0423 0.110442
58677.2132292 2 18.7472 0.101081
58674.2237269 2 18.4413 0.0860091
58671.2078356 2 18.3656 0.107105
58668.1748843 2 18.3441 0.0756017
58661.1905208 2 18.5202 0.0758328
58658.2340162 2 18.7857 0.0770244
58655.1921296 2 19.3608 0.111945
58652.2926968 2 20.1245 0.335181
