ZTF19acwrujg 0.060000 Ia
58874.1377083 2 20.1359 0.148759
58873.1837384 2 20.4563 0.180858
58867.119294 2 19.9809 0.207353
58861.1611574 2 19.7008 0.145403
58860.1759028 2 19.5444 0.210074
58859.2191088 2 19.5653 0.163921
58853.1814699 2 19.4033 0.224089
58852.1602431 2 19.2765 0.0822588
58850.1201852 2 19.3366 0.129675
58849.1838773 2 19.1676 0.0816509
58849.1600231 2 19.1447 0.064392
58846.1355787 2 19.2055 0.0923746
58833.2813773 2 18.47 0.0696781
58833.2138079 2 18.5241 0.0755931
58830.2806597 2 18.5031 0.0764551
58830.245544 2 18.3867 0.0604711
58827.2479745 2 18.4329 0.103474
58820.2896875 2 19.1121 0.281046
58814.207419 2 20.5777 0.225794
