ZTF19acgjnfz 0.050000 II
58859.4736458 2 19.7376 0.176892
58854.4766204 2 19.704 0.200644
58853.4364468 2 19.7725 0.125117
58852.5543403 2 19.8412 0.157309
58852.4193056 2 19.8805 0.119802
58851.4908681 2 19.6364 0.119471
58850.4926157 2 19.9115 0.178069
58850.4779514 2 19.6703 0.148119
58849.4484144 2 19.7499 0.116057
58849.4327431 2 19.7682 0.171286
58846.4708796 2 19.5951 0.126193
58836.4852546 2 19.3915 0.0896284
58836.4852546 2 19.3915 0.089628
58835.4987037 2 19.3496 0.19974
58833.4856597 2 19.2866 0.195334
58833.4465162 2 19.3055 0.171255
58833.4291551 2 19.2435 0.19942
58831.4497338 2 18.8674 0.316158
58830.4201273 2 19.1325 0.111374
58828.426794 2 19.0164 0.128872
58827.42 2 19.0282 0.192465
58812.5599306 2 18.3837 0.0731549
58812.5585417 2 18.3884 0.0701208
58806.5572801 2 18.2877 0.0732831
58806.5417477 2 18.276 0.0798635
58803.4285185 2 18.1364 0.0745336
58799.4920602 2 17.8791 0.0751415
58799.4743056 2 17.8772 0.0797307
58793.5175926 2 17.5444 0.0554839
58792.4851736 2 17.5227 0.0542812
58790.5093171 2 17.4954 0.0417782
58785.5070833 2 17.5795 0.0454882
58785.4951968 2 17.5675 0.0645231
58776.5107407 2 18.9753 0.120991
58776.5093287 2 19.035 0.138147
