ZTF19acynije 0.017000 Ia
58895.1218866 2 19.2323 0.111135
58891.113206 2 19.1418 0.116998
58887.1188079 2 18.9298 0.130098
58884.1326852 2 18.7881 0.12808
58881.1158218 2 18.6786 0.0916237
58878.1314005 2 18.5508 0.130983
58875.1103704 2 18.4199 0.0778536
58872.1189005 2 18.3231 0.0685353
58860.2014931 2 17.2686 0.0455351
58859.1571412 2 17.1791 0.0361403
58856.1662153 2 17.0553 0.0385347
58856.142419 2 17.0313 0.0357728
58854.1343634 2 16.8907 0.0470179
58853.1298727 2 16.8593 0.0422725
58853.0803588 2 16.9165 0.0445812
58850.1106019 2 16.6674 0.0358267
58849.0821991 2 16.6165 0.0375748
58846.1438426 2 16.5325 0.0315468
58837.1009838 2 17.3753 0.0528238
58837.079213 2 17.4138 0.0419605
58833.0937269 2 18.8404 0.0791734
