ZTF20aaurexl 0.070000 Ic-BL
58987.3539005 2 19.6326 0.105518
58986.4558102 2 19.6092 0.139072
58985.4073727 2 19.5868 0.100196
58983.364919 2 19.4331 0.106084
58976.3712963 2 19.0368 0.136121
58973.3683449 2 18.7523 0.0898983
58970.4086574 2 18.4837 0.0607948
58967.4113773 2 18.3514 0.0514913
58964.4264931 2 18.2999 0.057237
58961.4401505 2 18.3059 0.07242
58956.4918866 2 18.3812 0.0642607
58954.5112269 2 18.5955 0.0859005
58953.4514236 2 18.7282 0.096815
