ZTF19acxysob 0.053000 Ia
58900.3649769 1 20.7948 0.362556
58899.4305903 1 20.9045 0.210124
58898.4511574 1 21.055 0.245209
58881.4902662 1 20.8253 0.23852
58878.5128704 1 20.5459 0.309053
58875.4686921 1 20.651 0.308256
58872.4300579 1 20.4692 0.20592
58867.450625 1 20.297 0.22889
58855.4997569 1 19.4885 0.0919777
58852.5346644 1 19.1768 0.091397
58846.560544 1 18.6414 0.0630965
58838.4913079 1 17.9881 0.0943564
58831.5589468 1 17.8103 0.0814767
58828.5572569 1 17.8628 0.0512834
