ZTF19aazgdvh 0.082200 Ia
58684.1859606 2 19.2313 0.114363
58681.247662 2 19.2166 0.146123
58678.1944676 2 19.158 0.15082
58675.2425 2 18.9857 0.0997121
58672.2138889 2 18.9077 0.108043
58669.1833565 2 18.7168 0.099507
58666.2584954 2 18.6608 0.0858255
58663.190162 2 18.482 0.080487
58660.2110648 2 18.4635 0.0910823
58657.2562616 2 18.5348 0.0966717
58647.251875 2 19.4136 0.173041
