ZTF18abrzeym 0.056000 Ia
58386.1944329 2 19.0151 0.17495
58386.1939815 2 18.9358 0.136159
58383.1119097 2 18.9403 0.116723
58379.2437616 2 18.4692 0.104972
58377.1264699 2 18.4798 0.0728443
58374.1649306 2 18.5495 0.0804673
58373.1490741 2 18.4246 0.0648523
58371.1476736 2 18.5365 0.0780184
58370.1668634 2 18.5345 0.0728624
58368.1474653 2 18.6834 0.0852687
58367.1662731 2 18.7163 0.101697
58365.1730324 2 18.9317 0.0999969
58364.1622801 2 19.0472 0.110815
58362.1692824 2 19.5484 0.149563
