ZTF19aawafvn 0.074000 Ia
58691.1709838 2 19.6903 0.138583
58682.238044 2 19.3251 0.135345
58679.1935417 2 19.14 0.116071
58676.2101736 2 19.0443 0.112842
58670.3107176 2 18.9048 0.0918922
58663.1976157 2 18.7091 0.0591603
58657.2581019 2 18.3438 0.0392446
58647.2396875 2 18.2397 0.0608461
58644.2570602 2 18.3528 0.0619116
58641.2815509 2 18.6607 0.0553937
58635.2621644 2 19.8786 0.104811
