ZTF18adazgdh 0.076700 Ia
58523.2123032 2 19.8784 0.161827
58513.4195718 2 19.4768 0.145149
58513.4116551 2 19.4721 0.13876
58511.4105903 2 19.4326 0.113307
58511.4096759 2 19.4506 0.104215
58510.2750231 2 19.254 0.142467
58510.2745718 2 19.4695 0.212672
58502.505625 2 19.0208 0.143898
58502.5051736 2 19.1144 0.213628
58493.471875 2 18.7522 0.0760436
58493.4373495 2 18.7218 0.06447
58492.4790972 2 18.6597 0.10069
58492.4407523 2 18.6609 0.157648
58486.4760532 2 18.7194 0.0771508
58486.4751157 2 18.8408 0.0750356
58486.4577431 2 18.7985 0.10199
58486.4572917 2 18.8042 0.107511
58481.4352315 2 19.1546 0.124495
58481.4196991 2 19.1423 0.107129
58480.4538542 2 19.3803 0.155744
