ZTF19acwrqtv 0.060000 Ia
58853.1192014 1 19.0751 0.235413
58852.1245023 1 19.2503 0.365804
58851.135081 1 19.0783 0.360589
58850.1624074 1 18.9787 0.217056
58837.1432292 1 18.2275 0.109189
58836.1415509 1 18.1792 0.0847077
58833.1413542 1 18.1503 0.0821942
58831.1986574 1 18.0771 0.10193
58831.1196412 1 18.1156 0.0917493
58830.1787731 1 18.1042 0.0820037
58830.1253009 1 18.0934 0.0898619
58829.142662 1 17.9846 0.124465
58828.1164583 1 18.118 0.136161
58820.180787 1 18.5427 0.202806
58820.1599769 1 18.6327 0.208865
58819.2157639 1 18.7096 0.147553
