ZTF19acchjle 0.070000 Ia-91T
58812.2728819 2 19.2158 0.122149
58803.2926736 2 18.8602 0.121929
58800.3139699 2 18.7437 0.136283
58796.3155208 2 18.6767 0.115437
58793.3563657 2 18.6095 0.0729804
58790.3712963 2 18.5468 0.0808099
58787.3355903 2 18.5907 0.26184
58784.3778472 2 18.1737 0.0849194
58778.3792593 2 17.9468 0.0648188
58775.3749537 2 17.9219 0.0714901
58772.3772917 2 17.9292 0.13398
58765.4182176 2 18.2716 0.0736624
58759.3762731 2 19.4661 0.109204
