ZTF18acusrws 0.032000 Ia
58575.2868403 1 20.3971 0.18919
58572.2614352 1 20.4235 0.28597
58567.2596644 1 20.49 0.189313
58559.319213 1 19.9864 0.300341
58556.3664583 1 20.3083 0.408198
58543.310544 1 20.2434 0.252366
58526.4460301 1 19.8565 0.153767
58522.4841088 1 19.7361 0.136787
58511.4505208 1 19.3191 0.124327
58508.5378704 1 19.1406 0.175622
58505.4484838 1 18.7508 0.149605
58502.4755324 1 18.605 0.101476
58494.4944792 1 17.8549 0.0469691
58491.4709606 1 17.6041 0.0414954
58486.5361574 1 17.2093 0.0361268
58480.5161343 1 16.9052 0.0280983
58471.5086921 1 17.0801 0.0495198
58464.5121528 1 18.5037 0.070243
