ZTF18abebzog 0.044000 Ia
58694.3476968 2 20.3329 0.205708
58665.4301852 2 20.2218 0.222994
58618.3117708 2 19.5184 0.173477
58616.4294676 2 20.5779 0.286106
58369.1929051 2 20.2284 0.216783
58364.3025347 2 19.9282 0.178411
58356.2790278 2 19.5949 0.184975
58356.1963542 2 19.5855 0.216894
58355.2813194 2 19.6847 0.191474
58354.2686343 2 19.5674 0.152691
58353.2180903 2 19.6297 0.197943
58352.2901273 2 19.5623 0.163441
58351.3635648 2 19.5859 0.123361
58350.3746991 2 19.3507 0.121432
58349.3073843 2 19.3291 0.124324
58347.4111111 2 19.3318 0.107378
58345.3306944 2 19.161 0.105443
58344.308912 2 19.1498 0.107935
58342.3338194 2 19.331 0.158393
58341.3160185 2 19.0843 0.132932
58340.3102431 2 19.0935 0.140996
58336.3478125 2 19.1269 0.102966
58334.3488657 2 19.1656 0.129047
58333.3252662 2 19.0369 0.12394
58332.3305903 2 19.165 0.145529
58330.3600347 2 19.0427 0.132798
58327.3596065 2 18.7867 0.133699
58326.3584491 2 18.8255 0.14336
58325.2771644 2 18.7446 0.137124
58324.4765972 2 18.6863 0.114549
58323.4728935 2 18.62 0.0799639
58322.3823611 2 18.5655 0.0930657
58320.3916435 2 18.4452 0.0662187
58318.3661458 2 18.3762 0.0647868
58316.3465741 2 18.3547 0.0840927
58310.4068403 2 18.6013 0.121174
58307.3913079 2 18.7165 0.0781644
