ZTF19abdoznh 0.037000 Ia
58747.2081829 2 19.698 0.148974
58740.2544792 2 19.1353 0.168134
58737.1877778 2 19.2584 0.156992
58734.145544 2 19.1365 0.15002
58723.3296644 2 18.6757 0.0909255
58719.3216667 2 18.4458 0.136103
58713.248669 2 18.1288 0.149822
58707.1687963 2 17.957 0.0579818
58704.1792245 2 18.0099 0.0678023
58700.1707407 2 17.9285 0.0538216
58697.1848611 2 17.7912 0.0476906
58694.1916435 2 17.5338 0.045408
58691.1934606 2 17.3628 0.0495279
58684.1733796 2 17.1792 0.0523005
58681.2771875 2 17.2197 0.055003
58678.2151042 2 17.4103 0.0489732
58675.2918981 2 17.671 0.0658774
58669.3308333 2 19.3633 0.0906632
