ZTF19abimkwn 0.055000 Ia
58764.406088 2 19.816 0.181827
58762.164456 2 19.9189 0.164302
58761.1647222 2 19.8848 0.153681
58760.1657407 2 19.8175 0.165419
58758.173287 2 19.764 0.171482
58754.164294 2 19.6802 0.126115
58751.1646644 2 19.569 0.16035
58750.167037 2 19.463 0.16077
58749.1667593 2 19.4621 0.144002
58748.1652662 2 19.5001 0.207765
58747.1661458 2 19.338 0.122715
58746.1906134 2 19.2612 0.125447
58745.1662731 2 19.3409 0.146295
58744.1654861 2 19.2468 0.11015
58741.1661343 2 19.1429 0.13651
58739.1655671 2 19.326 0.174444
58738.1666667 2 18.9306 0.16343
58736.4141898 2 18.8118 0.117787
58733.3828125 2 18.7001 0.0914096
58730.391713 2 18.6086 0.0721472
58715.3682986 2 18.2251 0.0884098
58708.4873264 2 17.765 0.07181
58705.453044 2 17.6625 0.0428941
58702.3931829 2 17.6774 0.062915
58699.3846528 2 17.6807 0.0442451
58696.3810995 2 17.8292 0.0500245
58693.3826273 2 18.1222 0.0529274
58690.405625 2 18.7125 0.0808733
