ZTF20aasokxu 0.071000 Ia
58968.2036574 2 19.8967 0.155387
58965.2853241 2 19.7422 0.150322
58962.2674769 2 19.6065 0.140481
58956.2694213 2 19.2195 0.112067
58955.2852662 2 19.2368 0.0835561
58954.2308449 2 19.1808 0.108459
58939.3710764 2 18.4013 0.318211
58915.3773148 2 19.2878 0.144957
58913.4448843 2 19.8134 0.185174
