ZTF19acxyumq 0.034000 Ia
58913.3076042 1 19.9536 0.187748
58912.2788773 1 20.0077 0.218529
58911.3893403 1 20.0552 0.17987
58909.2697917 1 19.774 0.270135
58908.3279861 1 20.1162 0.172675
58906.2955903 1 20.1657 0.243158
58905.3046759 1 20.0085 0.231985
58904.3003241 1 20.0874 0.147154
58903.3428009 1 20.237 0.196293
58903.3265394 1 20.0019 0.164142
58900.3173958 1 19.9773 0.143115
58899.3869792 1 19.9333 0.162002
58898.3904051 1 19.9754 0.101192
58894.3454051 1 19.8871 0.152941
58884.4729282 1 19.5414 0.135062
58881.4747685 1 19.5373 0.113474
58878.3871296 1 19.3961 0.121403
58875.4479282 1 19.1623 0.101348
58871.4521065 1 18.8488 0.0910491
58866.4143634 1 18.374 0.0639308
58862.4421644 1 17.9322 0.0680408
58859.5305093 1 17.6641 0.0533766
58855.5118287 1 17.3177 0.0402908
58854.5280093 1 17.2925 0.054189
58852.5393403 1 17.0773 0.0413232
58851.5387153 1 17.0029 0.0438258
58849.5110648 1 16.8789 0.0343013
58837.5086111 1 17.1477 0.055252
58836.5567361 1 17.2199 0.0382966
58833.5603125 1 17.7853 0.111305
58828.5604861 1 19.6002 0.163801
