ZTF18acqxcga 0.030000 Ia
58567.1336806 2 20.1021 0.177866
58567.1332176 2 20.2893 0.204499
58560.3225694 2 19.7181 0.28085
58556.1918866 2 19.7843 0.22071
58556.1803935 2 19.8189 0.230402
58547.1194329 2 19.5705 0.14979
58543.237581 2 19.531 0.137542
58543.2371181 2 19.5031 0.177101
58540.2336227 2 19.4416 0.124539
58534.2088773 2 19.2261 0.263923
58526.2113657 2 18.8808 0.109709
58526.1886343 2 18.99 0.0967557
58522.2241551 2 18.8026 0.0683694
58522.2047454 2 18.8541 0.0563453
58513.4083218 2 18.5754 0.0771162
58511.1965162 2 18.4848 0.0774362
58510.2700231 2 18.4235 0.0831973
58510.2369097 2 18.4358 0.0965166
58508.2918634 2 18.4054 0.0852813
58508.2658565 2 18.3706 0.0614128
58508.2247685 2 18.3347 0.0543841
58507.2557523 2 18.368 0.0720678
58507.2552894 2 18.2705 0.054776
58507.2103935 2 18.3239 0.0612994
58505.1319329 2 18.2956 0.119196
58504.2573727 2 18.2139 0.100095
58490.2236574 2 17.468 0.0420334
58490.2231944 2 17.4796 0.0396875
58486.4498148 2 17.4621 0.0573381
58486.4432523 2 17.3861 0.0468692
58481.4877894 2 17.3505 0.0421495
58481.4489583 2 17.3457 0.0353052
58480.4253588 2 17.3287 0.0434059
58480.3214236 2 17.3131 0.0396271
58474.3315625 2 17.1233 0.0495212
58471.2882176 2 16.8951 0.0373485
58471.2877662 2 16.9037 0.0325204
58471.2392477 2 16.9589 0.0791581
58471.2383333 2 16.9059 0.0696736
58464.3078125 2 16.5101 0.0329498
58464.3073495 2 16.4992 0.0272041
58461.5127083 2 16.4392 0.0323113
58461.5122454 2 16.4604 0.032011
58455.4940625 2 16.6319 0.0317398
58455.4935995 2 16.6139 0.0273203
58455.3444792 2 16.6197 0.0365326
58455.3435648 2 16.6087 0.038949
58450.3913426 2 17.2027 0.037237
58449.3968403 2 17.4639 0.0492952
58447.4164005 2 18.1564 0.096701
58447.3082176 2 18.0993 0.119063
58443.4053009 2 20.2791 0.210971
