ZTF19abkfxfb 0.032000 II
58763.4177431 1 20.8103 0.362398
58756.422581 1 20.2736 0.218896
58750.4399306 1 20.2149 0.321476
58747.4843519 1 20.1023 0.303096
58738.4798495 1 19.6883 0.229657
58735.4426736 1 19.8556 0.226125
58732.437037 1 19.728 0.167989
58725.4622569 1 19.4503 0.133439
58722.4618866 1 19.3908 0.134153
58719.4987731 1 19.214 0.224801
58714.5041667 1 19.1058 0.176319
58708.4578125 1 18.6973 0.114189
58705.4915394 1 18.6486 0.092912
58701.4761227 1 18.2988 0.272103
58698.4683449 1 18.3766 0.129922
58694.4634259 1 18.2153 0.06527
