ZTF19aaillan 0.070000 Ia
58606.3802431 1 20.9633 0.284237
58596.2333565 1 20.6637 0.239271
58586.2733333 1 20.4815 0.308679
58580.3012037 1 20.6142 0.244343
58575.3156597 1 20.3486 0.268615
58567.2912963 1 19.9126 0.19389
58559.355544 1 19.7914 0.285984
58556.378125 1 19.3536 0.21468
58547.3564583 1 18.508 0.0768732
58547.3564583 1 18.508 0.076873
58543.3810764 1 18.0102 0.176482
58543.3810764 1 18.0102 0.176482
58526.4545023 1 17.8706 0.067553
58522.4924769 1 18.3318 0.0737826
58522.4360764 1 18.3481 0.0592659
