ZTF20aabqdbo 0.025584 Ia
58894.4697222 2 20.3081 0.213882
58891.4963079 2 19.7423 0.251823
58887.514537 2 19.6131 0.178073
58884.5135069 2 19.5123 0.183497
58881.5372801 2 19.3936 0.12116
58878.3609606 2 19.13 0.121749
58875.5192361 2 18.9484 0.081136
58871.4827431 2 18.517 0.069907
58864.4836111 2 17.9246 0.0476616
58861.5243634 2 17.7365 0.0623959
58859.3640394 2 17.6977 0.069221
58853.5462269 2 18.361 0.0546721
58851.4726736 2 18.771 0.0823181
58850.4869097 2 19.1373 0.0881337
