ZTF20aafckit 0.031000 II
58980.2759491 2 20.0246 0.176585
58972.3708333 2 19.9304 0.170944
58971.3773843 2 19.8653 0.208534
58970.3960185 2 20.1553 0.24015
58968.4108449 2 20.0172 0.183907
58968.3585995 2 20.0171 0.147534
58967.3784259 2 20.0959 0.224286
58966.3786343 2 19.8255 0.168133
58965.3347685 2 20.0515 0.196675
58964.4072685 2 19.9226 0.140281
58964.4022222 2 19.9734 0.227648
58962.3303009 2 19.9327 0.257231
58961.4219097 2 19.9932 0.281862
58956.3385648 2 19.53 0.1612
58955.4229167 2 19.62 0.165841
58954.4621991 2 19.6406 0.191439
58953.4414583 2 19.4047 0.175537
58943.496875 2 19.0257 0.122845
58943.4625116 2 19.0321 0.12427
58939.4316782 2 19.048 0.237676
58939.4302431 2 18.9193 0.128099
58936.4435185 2 18.8725 0.0820018
58936.4425694 2 18.8553 0.107551
58914.5176505 2 18.4844 0.0703213
58914.5171296 2 18.518 0.0730512
58911.5164005 2 18.3708 0.0914067
58911.4958681 2 18.4337 0.108323
58906.5188194 2 18.3425 0.106205
58906.5174537 2 18.406 0.095593
58903.5210185 2 18.3178 0.097019
58903.5196528 2 18.2968 0.0600717
58898.5382986 2 18.223 0.064035
58898.4960995 2 18.2396 0.050182
58893.5271065 2 18.0896 0.0763938
58893.5252778 2 18.0731 0.0740181
58890.4974653 2 18.2825 0.190096
58890.4826042 2 17.9231 0.10205
58887.532419 2 17.9908 0.0607595
58886.5602662 2 17.9965 0.0714929
58884.5427778 2 17.9583 0.0685806
58883.5594329 2 17.8857 0.0797339
58881.5466204 2 17.9128 0.0621303
58879.5460301 2 17.9366 0.121201
58878.5564352 2 17.9291 0.059152
58876.5600926 2 17.8809 0.067578
58875.5433912 2 17.9566 0.055497
58873.5382176 2 17.89 0.0688806
58872.5567477 2 17.919 0.0669284
58864.5184838 2 17.9504 0.0550564
58864.518044 2 17.9108 0.0621193
58861.5454051 2 18.1071 0.0750574
