ZTF19abeytzv 0.070000 Ia
58733.3777083 2 19.829 0.157445
58730.3820833 2 19.6923 0.124398
58717.3297454 2 19.067 0.0918375
58714.3738194 2 19.1108 0.139724
58708.4839352 2 18.8168 0.0744019
58705.4432407 2 18.7302 0.0727425
58702.3796644 2 18.5967 0.0792164
58696.3778125 2 18.2692 0.0515467
58693.3788657 2 18.1464 0.0470289
58690.4013889 2 18.1566 0.0541218
58686.4182986 2 18.2888 0.0904208
58682.406331 2 18.3376 0.0703957
58679.4622222 2 18.5435 0.0741306
58676.4607523 2 18.8097 0.0808772
58672.4616319 2 19.9694 0.114316
