ZTF19abqkpoi 0.078800 Ia
58736.305787 1 19.8091 0.304098
58733.3146991 1 19.427 0.166127
58733.3142477 1 19.3314 0.137547
58728.2990856 1 19.038 0.11149
58725.3256019 1 18.7897 0.112124
58723.4160648 1 18.5748 0.0645959
58720.3984259 1 18.5969 0.10014
58717.3985995 1 18.6452 0.120411
58714.4767245 1 19.095 0.196865
