ZTF19acckggd 0.080000 Ia
58790.5286343 1 19.8406 0.180508
58784.4852199 1 19.1591 0.192611
58781.4764931 1 19.1577 0.16819
58778.535787 1 19.0411 0.14623
58778.5153009 1 18.9973 0.125053
58768.4378935 1 18.8166 0.164641
58767.4331134 1 18.9791 0.175555
58766.4649306 1 18.9459 0.144211
58763.4755208 1 19.3193 0.151298
58760.4976273 1 19.8575 0.186287
58759.4737963 1 20.0891 0.211529
58758.494375 1 20.5325 0.276703
