ZTF18aajpjdi 0.074600 Ia
58986.2236458 1 19.0675 0.0873572
58985.2050231 1 20.0657 0.175802
58980.2086227 1 19.0427 0.091791
58971.2975694 1 19.0556 0.112684
58968.2990162 1 19.1051 0.0958924
58968.2990162 1 19.1051 0.095892
58965.2571065 1 20.1309 0.182399
58965.2553009 1 19.0505 0.0900887
58963.3488657 1 19.9223 0.214229
58963.3126505 1 19.112 0.0850431
58962.3413542 1 20.1524 0.204032
58962.2347801 1 18.9931 0.105998
58955.29875 1 19.0318 0.104899
58954.380787 1 20.0478 0.22515
58954.2949074 1 18.9847 0.1072
58944.4440856 1 19.0993 0.179487
58943.4125231 1 19.961 0.235804
58943.4120718 1 19.2176 0.16724
58941.4446528 1 18.9883 0.108059
58940.3832523 1 19.0088 0.128455
58939.3345139 1 19.1078 0.148568
58937.392963 1 19.0519 0.0856788
58936.3070139 1 19.0086 0.10046
58936.3056481 1 20.1736 0.210528
58914.4736574 1 19.1401 0.134692
58908.3524306 1 20.1468 0.170004
58908.3524306 1 20.1468 0.170004
58906.350463 1 19.078 0.114785
58903.3730208 1 18.9778 0.0925154
58898.4020718 1 18.9658 0.111738
58894.3699074 1 19.0962 0.119851
58894.3579167 1 20.2709 0.285419
58887.4434375 1 19.1238 0.154352
58881.4977315 1 20.0485 0.201739
58881.4641898 1 19.0183 0.0826309
58878.5212269 1 19.0438 0.121411
58875.4771991 1 18.9357 0.108825
58875.4767477 1 20.4876 0.24533
58871.4764931 1 18.9897 0.102994
58871.4760301 1 20.4055 0.311605
58867.4576042 1 20.0413 0.203312
58867.4255903 1 19.0608 0.100385
58863.4565741 1 19.1873 0.1608
58856.5613657 1 19.0107 0.111657
58856.5604282 1 20.2754 0.194839
58853.525162 1 20.3851 0.310953
58853.5065625 1 19.0267 0.098258
58850.5656134 1 19.0209 0.154721
58850.5461806 1 20.4365 0.27571
58850.5457176 1 19.0587 0.143596
58846.5484491 1 18.9438 0.097383
58835.548831 1 19.0196 0.194546
58833.5685069 1 19.1164 0.249876
58831.5621759 1 18.9859 0.182901
58814.5118634 1 18.9822 0.203129
58804.5132639 1 18.8541 0.26073
58694.2128819 1 19.0486 0.1149
58692.194537 1 19.9672 0.228292
58690.1979745 1 19.1319 0.120548
58686.1796644 1 19.0683 0.101693
58683.1770255 1 19.1428 0.0959891
58680.1765625 1 19.2447 0.200168
58677.1833681 1 19.0443 0.1174
58673.1757639 1 20.0049 0.280891
58668.193287 1 19.0489 0.0835156
58654.2401389 1 19.1374 0.105019
58651.1705556 1 19.1765 0.203539
58648.1875 1 19.0426 0.14383
58645.2125347 1 19.2763 0.191223
58642.196956 1 19.083 0.0997371
58639.2396065 1 20.3405 0.189418
58639.2391551 1 19.0585 0.0880233
58636.2491898 1 19.1041 0.0979661
58633.2592477 1 20.285 0.243306
58633.2587963 1 19.0566 0.121671
58616.2316319 1 20.1254 0.259643
58606.4036458 1 19.0962 0.0878942
58600.2372569 1 20.1578 0.177213
58600.2349653 1 19.1936 0.104649
58596.2338079 1 20.2832 0.175905
58596.2129861 1 19.1029 0.0897053
58586.2737847 1 19.0197 0.109343
58580.3016551 1 20.1242 0.180558
58580.3007523 1 19.0944 0.105768
58575.3175347 1 20.192 0.194291
58575.2962616 1 19.1191 0.0992623
58572.3192361 1 20.1693 0.241141
58572.3187847 1 19.088 0.123464
58562.3055093 1 19.0707 0.298452
58559.3516782 1 19.2281 0.139354
58556.3794792 1 19.8795 0.286752
58556.3776736 1 19.0641 0.141197
58547.33875 1 19.1698 0.127366
58526.4773843 1 19.1016 0.138723
58526.4744792 1 20.2159 0.277593
58522.4612616 1 20.2612 0.307951
58522.4455787 1 19.1999 0.128148
58522.4379051 1 20.0739 0.258517
58511.461412 1 20.2767 0.24442
58511.4485532 1 19.0813 0.0872806
58505.451875 1 19.1882 0.258023
58494.5078819 1 19.105 0.0895942
58491.5054745 1 20.1931 0.167672
58491.4951505 1 19.0786 0.0899295
58486.5558333 1 19.116 0.129547
58471.5170486 1 19.0843 0.104635
58465.5509259 1 19.19 0.0986052
58465.550463 1 20.1492 0.214283
58442.5093287 1 19.1931 0.192392
58437.5185995 1 19.1787 0.189021
58336.1773032 1 19.2427 0.142791
58333.1828588 1 19.2184 0.172955
58307.2274653 1 19.3551 0.130763
58301.2572454 1 19.1484 0.120491
58298.1767477 1 19.1575 0.163291
58295.1756019 1 19.3711 0.205533
58292.1934606 1 19.2218 0.173052
58288.1951157 1 19.3208 0.115546
58282.2585069 1 19.2053 0.0665992
58279.2171759 1 19.2874 0.0671188
58276.213044 1 19.2948 0.0644511
58272.25 1 19.3226 0.0698336
58269.25 1 19.2038 0.15559
