ZTF20aacbtgq 0.062900 Ia
58939.2122801 2 20.2356 0.199634
58915.3635764 2 19.8864 0.219877
58912.406412 2 19.6731 0.158422
58909.3128588 2 19.536 0.116852
58906.2412384 2 19.3716 0.16827
58903.3877431 2 19.1989 0.0908238
58900.238588 2 18.9951 0.0739071
58899.3242593 2 18.9812 0.072549
58899.2845833 2 18.9926 0.078319
58896.3023495 2 18.908 0.0730342
58896.2976968 2 18.883 0.085269
58895.2813542 2 18.8686 0.0649477
58894.2599653 2 18.8882 0.0827394
58893.3330208 2 18.8565 0.0666596
58893.3042477 2 18.8303 0.0818838
58893.3033218 2 18.8794 0.0757599
58892.2987153 2 18.8395 0.0907278
58891.3281134 2 18.912 0.0927421
58890.4269213 2 18.792 0.13261
58890.4241898 2 18.7505 0.130672
58888.4238079 2 18.9588 0.174679
58886.2644444 2 18.869 0.0991125
58886.2634028 2 18.8076 0.0931971
58885.2203472 2 18.7851 0.120256
58884.2384259 2 18.6478 0.123397
58883.2814352 2 18.6352 0.117097
58883.2789352 2 18.823 0.139101
58881.3453009 2 18.58 0.0695273
58880.3489005 2 18.5036 0.0597604
58880.3460995 2 18.5364 0.0727298
58879.3411921 2 18.4032 0.0892968
58878.3425116 2 18.3673 0.0548084
58877.3475116 2 18.32 0.060222
58877.3466088 2 18.3465 0.062766
58876.3042477 2 18.2384 0.0544969
58875.3058333 2 18.2206 0.061652
58874.2989468 2 18.1754 0.0535136
58874.2947338 2 18.2306 0.052036
58873.2992014 2 18.0914 0.0587507
58871.326412 2 18.0842 0.0497303
58871.3198843 2 18.1038 0.0500092
58867.366412 2 18.0652 0.0755924
58864.3239699 2 18.1475 0.0639645
58861.3262269 2 18.2148 0.0834889
58860.3003009 2 18.4566 0.111073
58859.2793403 2 18.5848 0.108029
58855.5284838 2 19.1221 0.0897314
58852.4520949 2 20.1636 0.141921
58851.4521296 2 20.5885 0.282239
