ZTF18achcpwu 0.055200 Ic
58567.1415046 2 20.1655 0.200374
58540.2364005 2 19.9288 0.149711
58526.1916319 2 19.8336 0.210669
58523.2147106 2 19.685 0.133751
58509.2800231 2 19.5782 0.206436
58493.2784144 2 19.2189 0.112479
58490.2203588 2 19.1891 0.116376
58486.4460417 2 19.1247 0.152986
58480.4433218 2 19.0195 0.123681
58474.3391667 2 18.8334 0.141303
58471.2805093 2 18.8012 0.13081
58464.3030556 2 18.7189 0.0980708
58461.5265625 2 18.6765 0.0972398
58455.5032639 2 18.414 0.0978656
58455.3647569 2 18.6952 0.0776584
58450.3840162 2 18.7306 0.132442
58447.5052778 2 18.8176 0.180862
58447.4292245 2 18.8093 0.111729
58443.4110764 2 18.9574 0.089712
58437.3846065 2 19.4257 0.158314
58434.4440856 2 19.5986 0.207685
