ZTF19abxfunp 0.038000 Ia
58782.223125 1 20.0722 0.222834
58779.1193056 1 19.9754 0.179445
58775.121956 1 19.6113 0.144988
58772.1224421 1 19.3071 0.137088
58769.199456 1 18.9946 0.160537
58766.1958449 1 18.8127 0.124361
58763.1290741 1 18.5032 0.0927988
58757.2065046 1 17.8553 0.0512098
58754.2593056 1 17.6381 0.0560442
58742.1322917 1 17.3387 0.0811526
58739.1300347 1 17.5546 0.0728769
58737.3065278 1 17.7856 0.0750613
58736.2936343 1 18.0586 0.0726724
58735.2840394 1 18.3148 0.10573
58734.285463 1 18.6072 0.101636
58733.284213 1 19.0197 0.127375
58732.2848958 1 19.5872 0.119398
