ZTF20aaifyvz 0.060000 Ia
58911.5388079 1 20.674 0.266002
58904.5511574 1 20.0999 0.218801
58898.5625694 1 19.5152 0.161918
58894.5602083 1 19.1498 0.108528
58891.4760185 1 18.9081 0.178439
58885.4658912 1 18.6175 0.133187
58879.5037384 1 18.7765 0.126648
58876.5380787 1 18.9454 0.087637
58876.5380787 1 18.943 0.087649
