ZTF20aamnvij 0.070000 Ia
58962.1740046 2 20.1392 0.186338
58954.2239931 2 20.2661 0.205607
58939.2276389 2 19.3525 0.144176
58939.1630324 2 19.2489 0.122605
58912.2156481 2 18.3924 0.0818483
58909.30375 2 18.3299 0.0762168
58906.2151852 2 18.2628 0.075234
58903.2253704 2 18.2757 0.0564566
58900.2422454 2 18.3099 0.0631944
58899.2654051 2 18.4141 0.07334
58898.3115856 2 18.4859 0.058614
58896.2575579 2 18.6206 0.0770339
58894.2571412 2 18.8018 0.0775975
58894.2562269 2 18.7725 0.095142
58893.2759606 2 18.9671 0.0924519
58892.261088 2 19.0398 0.107544
58892.2439236 2 19.1014 0.127624
58891.2825116 2 19.2741 0.124846
58890.4126968 2 19.4258 0.239783
