ZTF20aauowam 0.064000 Ia
58985.3072106 1 19.6335 0.113651
58981.3010764 1 19.3217 0.130448
58980.405706 1 19.209 0.107159
58979.2614005 1 19.1515 0.117857
58978.3843981 1 18.9679 0.137611
58977.3573611 1 18.8422 0.200055
58976.4758218 1 18.8688 0.135556
58975.2978356 1 18.778 0.12413
58974.4680093 1 18.6906 0.101079
58972.4511227 1 18.554 0.0737143
58971.4229861 1 18.4049 0.0635971
58970.3107523 1 18.3564 0.065055
58968.4420486 1 18.1823 0.0616136
58967.4254514 1 18.142 0.0573533
58966.4136806 1 18.0734 0.0448337
58965.4079167 1 18.0149 0.0434362
58964.3662269 1 17.9331 0.0605234
58963.4280324 1 17.8967 0.0554742
58963.3897685 1 17.9066 0.046761
58962.3663079 1 17.8577 0.0497108
58956.3659491 1 17.7701 0.066223
58955.4115972 1 17.8006 0.0503148
58954.4078009 1 17.8582 0.0511663
58944.4993519 1 19.6634 0.167216
58943.4585301 1 20.1138 0.230415
