ZTF20aaifyab 0.055000 Ia
58914.5341204 2 19.64 0.121414
58911.5149769 2 19.6338 0.207431
58904.5255903 2 19.0502 0.087206
58898.5251273 2 18.7995 0.0974523
58894.5399306 2 18.6632 0.103421
58888.5111458 2 18.7054 0.163478
58885.544456 2 18.421 0.0627747
58876.5727315 2 17.9582 0.0656302
58873.5336921 2 17.914 0.0638831
