ZTF20aatqgeo 0.031900 II
58980.2516319 2 18.8104 0.10913
58974.2510417 2 18.7353 0.122075
58971.2176968 2 18.636 0.103508
58968.3707755 2 18.6514 0.0780411
58965.3085532 2 18.6538 0.0945038
58954.264213 2 18.5056 0.082878
58941.4236111 2 18.4573 0.0861058
58939.3584606 2 18.2772 0.194926
58936.4351389 2 18.3068 0.0732021
